,Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Ticket Type,Passenger Status
98563,8QtqVd,Wells,Keedy,Male,12,Honduras,Metropolitan Oakland International Airport,US,United States,NAM,North America,2/22/2022,OAK,Wells Keedy,Cancelled,Business,On Time
98564,CfZLjc,Haywood,Petett,Male,47,Iran,Ewo Airport,CG,Congo,AF,Africa,11/28/2022,EWO,Haywood Petett,Cancelled,Business,On Time
98565,tCurkq,Esdras,Ferandez,Male,50,Pakistan,Wiesbaden Army Airfield,DE,Germany,EU,Europe,3/16/2022,WIE,Esdras Ferandez,Delayed,Business,On Time
98566,HL73ot,Hatti,Fife,Female,12,Indonesia,Wilkes County Airport,US,United States,NAM,North America,3/11/2022,IKB,Hatti Fife,On Time,Business,On Time
98567,iIx4WT,Cherri,Kuhndel,Female,5,Finland,Meekatharra Airport,AU,Australia,OC,Oceania,12/9/2022,MKR,Cherri Kuhndel,Delayed,Business,On Time
98568,Qbm2em,Terrell,Pettyfar,Male,13,China,Along Airport,IN,India,AS,Asia,12/6/2022,IXV,Terrell Pettyfar,On Time,Business,On Time
98569,VWE0aJ,Murdock,O'Crowley,Male,13,China,Marcelo Pires Halzhausen Airport,BR,Brazil,SAM,South America,5/6/2022,AIF,Murdock O'Crowley,On Time,Business,On Time
98570,n6EKqY,Graig,Dorsey,Male,52,Portugal,Tampere-Pirkkala Airport,FI,Finland,EU,Europe,6/20/2022,TMP,Graig Dorsey,On Time,Business,On Time
98571,jzo6UX,Kirsti,Blamphin,Female,39,Nigeria,Afton Municipal Airport,US,United States,NAM,North America,3/28/2022,AFO,Kirsti Blamphin,Delayed,Business,On Time
98572,DYzE5e,Nikita,Crawshaw,Male,61,Germany,Kirkuk Air Base,IQ,Iraq,AS,Asia,11/28/2022,KIK,Nikita Crawshaw,On Time,Business,On Time
98573,ieMdT7,Batsheva,Fost,Female,69,China,Dibrugarh Airport,IN,India,AS,Asia,8/12/2022,DIB,Batsheva Fost,Cancelled,Business,On Time
98574,cRLQhh,Octavia,Brambill,Female,34,Japan,Leeuwarden Air Base,NL,Netherlands,EU,Europe,3/22/2022,LWR,Octavia Brambill,Delayed,Business,On Time
98575,vyuC1Z,Tore,Milch,Male,65,Indonesia,La Tuque Airport,CA,Canada,NAM,North America,8/1/2022,YLQ,Tore Milch,Delayed,Business,On Time
98576,l6cF1l,Clevey,Lowdyane,Male,72,Indonesia,RAF Scampton,GB,United Kingdom,EU,Europe,4/4/2022,SQZ,Clevey Lowdyane,On Time,Business,On Time
98577,KZi9Ha,Lorinda,Osselton,Female,74,Argentina,Bafoussam Airport,CM,Cameroon,AF,Africa,7/7/2022,BFX,Lorinda Osselton,On Time,Business,On Time
