,Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Ticket Type,Passenger Status
4870,R9XRAi,Andree,Danes,Female,70,China,Tchongorove Airport,GA,Gabon,AF,Africa,6/15/2022,IGE,Andree Danes,On Time,Business,On Time
44871,vAf1iY,Derwin,Adamovitz,Male,70,China,Naples Municipal Airport,US,United States,NAM,North America,2/10/2022,APF,Derwin Adamovitz,On Time,Business,On Time
44872,okkXun,Dolph,Dive,Male,51,Japan,Crossville Memorial Whitson Field,US,United States,NAM,North America,3/4/2022,CSV,Dolph Dive,On Time,Business,On Time
56696,dZ6SOs,Elbert,Barbosa,Male,42,Russia,Bundi Airport,PG,Papua New Guinea,OC,Oceania,10/1/2022,BNT,Elbert Barbosa,Cancelled,Business,On Time
56697,H96UDJ,Lissie,Redmile,Female,48,Iran,Bulgan Airport,MN,Mongolia,AS,Asia,3/9/2022,UGA,Lissie Redmile,On Time,Business,On Time
56698,4lna6B,Kip,Petegrew,Male,59,China,Yerington Municipal Airport,US,United States,NAM,North America,12/25/2022,EYR,Kip Petegrew,Delayed,Business,On Time
56699,lDtsxU,Corrianne,Sisse,Female,24,China,Mossendjo Airport,CG,Congo,AF,Africa,10/14/2022,MSX,Corrianne Sisse,Cancelled,Business,On Time
56700,3WTLCg,Robbert,Tether,Male,85,Indonesia,Mafia Island Airport,TZ,"Tanzania, United Republic of",AF,Africa,7/16/2022,MFA,Robbert Tether,On Time,Business,On Time
56701,c5uTKm,Rooney,Kain,Male,68,Bhutan,Otu Airport,CO,Colombia,SAM,South America,1/31/2022,OTU,Rooney Kain,Cancelled,Business,On Time
56702,0HWVL6,Casey,Sphinxe,Female,40,Greece,Łódź Władysław Reymont Airport,PL,Poland,EU,Europe,9/4/2022,LCJ,Casey Sphinxe,Delayed,Business,On Time
56703,gQbfwY,Maggie,Webley,Female,19,China,Point Baker Seaplane Base,US,United States,NAM,North America,10/10/2022,KPB,Maggie Webley,Delayed,Business,On Time
56704,aP6Kkh,Gardner,MacCollom,Male,5,Indonesia,Wyk auf Föhr Airport,DE,Germany,EU,Europe,10/15/2022,OHR,Gardner MacCollom,Cancelled,Business,On Time
56705,adHwHe,Karleen,Zimmermanns,Female,68,Spain,Cairo International Airport,EG,Egypt,AF,Africa,2/14/2022,CAI,Karleen Zimmermanns,On Time,Business,On Time
56706,D95rWE,Richard,Hinckesman,Male,38,China,Conakry International Airport,GN,Guinea,AF,Africa,7/28/2022,CKY,Richard Hinckesman,Cancelled,Business,On Time
56707,OnanOm,Lenard,Ewbanche,Male,20,China,Jackson-Medgar Wiley Evers International Airport,US,United States,NAM,North America,7/20/2022,JAN,Lenard Ewbanche,Delayed,Business,On Time
56708,ZU2031,Sylvester,Buscombe,Male,22,China,Big Lake Airport,US,United States,NAM,North America,3/12/2022,BGQ,Sylvester Buscombe,On Time,Business,On Time
56709,e5VmpG,Marilee,Hadwick,Female,8,China,Saratov Central Airport,RU,Russian Federation,EU,Europe,8/5/2022,RTW,Marilee Hadwick,Cancelled,Business,On Time
56710,dH6PtP,Tomaso,Quantrell,Male,54,Greece,St. Peter-Ording Airport,DE,Germany,EU,Europe,1/11/2022,PSH,Tomaso Quantrell,On Time,Business,On Time
56711,EB0HzZ,Wes,Yea,Male,42,China,General Wayne A. Downing Peoria International Airport,US,United States,NAM,North America,5/11/2022,PIA,Wes Yea,Delayed,Business,On Time
56712,G7SOUt,Nettle,Geipel,Female,84,Mexico,Ruhengeri Airport,RW,Rwanda,AF,Africa,1/23/2022,RHG,Nettle Geipel,Cancelled,Business,On Time
56713,CNxnnt,Xylia,Wrotchford,Female,66,Philippines,Victoria Regional Airport,US,United States,NAM,North America,11/5/2022,VCT,Xylia Wrotchford,Delayed,Business,On Time
56714,9lqzBz,Lydie,Andrioletti,Female,32,Russia,Anthony Municipal Airport,US,United States,NAM,North America,7/3/2022,ANY,Lydie Andrioletti,On Time,Business,On Time
56715,DIo2sj,Jermaine,Hoopper,Male,39,Indonesia,Termal Airport,AR,Argentina,SAM,South America,5/8/2022,PRQ,Jermaine Hoopper,Cancelled,Business,On Time
56716,9HGzN7,Amandi,Ineson,Female,39,Russia,Edward G. Pitka Sr Airport,US,United States,NAM,North America,2/23/2022,GAL,Amandi Ineson,Delayed,Business,On Time
56717,T1udMQ,Marje,Radeliffe,Female,70,China,Otu Airport,CO,Colombia,SAM,South America,7/5/2022,OTU,Marje Radeliffe,Cancelled,Business,On Time
56718,AAX97h,Abeu,Phippin,Male,71,China,General Ulpiano Paez Airport,EC,Ecuador,SAM,South America,7/8/2022,SNC,Abeu Phippin,Cancelled,Business,On Time
